run_num,metric,sim_val
0.0,day_hour_emd,0.3631016010583912
6.0,day_hour_emd,0.35714925150543714
7.0,day_hour_emd,0.35714925290896204
9.0,day_hour_emd,0.3571492328252721
1.0,day_hour_emd,0.3571492357004318
5.0,day_hour_emd,0.3571492399443386
4.0,day_hour_emd,0.3571492161180764
2.0,day_hour_emd,0.3571492310123197
3.0,day_hour_emd,0.35714922140908856
8.0,day_hour_emd,0.35714925364156563
5.0,dl,0.987666981002383
9.0,dl,0.9872021148250657
4.0,dl,0.9903385469633486
7.0,dl,0.9922673816667599
3.0,dl,0.9917373439768998
6.0,dl,0.9919627042450672
0.0,dl,0.9917300379859874
8.0,dl,0.9897528197259685
1.0,dl,0.9879833463440021
2.0,dl,0.9910929155455861
6.0,log_mae,10593712.0
0.0,log_mae,6603205.0
9.0,log_mae,11225805.0
5.0,log_mae,9106120.0
1.0,log_mae,11186753.0
3.0,log_mae,7941489.0
4.0,log_mae,7663851.0
2.0,log_mae,8502197.0
8.0,log_mae,6402925.0
7.0,log_mae,12174647.0
6.0,mae,142350.47540983607
7.0,mae,100677.0655737705
8.0,mae,228390.00819672132
4.0,mae,111416.0081967213
5.0,mae,203702.9180327869
3.0,mae,89552.41803278688
2.0,mae,120400.83606557376
1.0,mae,130098.66393442624
0.0,mae,160384.4262295082
9.0,mae,63063.92622950819
5.0,tsd,0.8880933243391298
4.0,tsd,0.8856270671975323
7.0,tsd,0.8937903104641208
3.0,tsd,0.8922764605532947
2.0,tsd,0.8884783752432321
8.0,tsd,0.8879189313935304
1.0,tsd,0.8902717435754476
0.0,tsd,0.8907469034599865
9.0,tsd,0.8880118366734007
6.0,tsd,0.8912259550523532
0.0,clustering_method,kmeans
0.0,decomposition_method,pca
0.0,number_clusters,3
0.0,silhouette_score,0.5067519623193497
0.0,calinski_harabasz_score,12.898437434287208
