caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case1,Create Purchase Requisition,res_cc2fe2cf-46c4-4859-b7de-4bf8f7e609e7,Role 1,2011-01-01 01:07:59,12,0,2011-01-01 00:57:52
Case2,Create Purchase Requisition,res_bea74522-2d6d-47d4-8b90-ddb5247b8c2c,Role 1,2011-01-01 02:53:35,13,0,2011-01-01 02:43:40
Case3,Create Purchase Requisition,res_9483c16d-0a26-463b-9fe6-6d5022a72dae,Role 1,2011-01-01 03:23:29,14,0,2011-01-01 03:13:40
Case4,Create Purchase Requisition,res_b5d98185-d726-4acc-a9d9-b9cc0add4870,Role 1,2011-01-01 05:46:07,15,0,2011-01-01 05:36:31
Case1,Analyze Purchase Requisition,res_55d89e72-96f9-4ffa-874b-64ecac5c3223,Role 3,2011-01-01 06:03:40,15,0,2011-01-01 05:53:43
Case5,Create Purchase Requisition,res_9d0eba89-d86b-4e1d-b384-4e2cf7435b72,Role 1,2011-01-01 06:15:21,16,0,2011-01-01 06:05:51
Case2,Analyze Purchase Requisition,res_f5c64715-2154-458a-8581-bdf277fc207d,Role 3,2011-01-01 07:56:48,16,0,2011-01-01 07:47:03
Case6,Create Purchase Requisition,res_9483c16d-0a26-463b-9fe6-6d5022a72dae,Role 1,2011-01-01 08:08:04,17,0,2011-01-01 07:58:45
Case7,Create Purchase Requisition,res_46d4e6c1-f2ca-4e74-8c5f-6c9eb61288b4,Role 1,2011-01-01 08:17:39,18,0,2011-01-01 08:08:24
Case3,Analyze Purchase Requisition,res_e87c5dfd-dc77-450b-8c9f-bbeff95740ec,Role 3,2011-01-01 08:34:28,18,0,2011-01-01 08:24:58
Case8,Create Purchase Requisition,res_4f4562b0-adf8-468b-bbaf-c32b774432c6,Role 1,2011-01-01 10:08:56,19,0,2011-01-01 09:59:51
Case9,Create Purchase Requisition,res_46d4e6c1-f2ca-4e74-8c5f-6c9eb61288b4,Role 1,2011-01-01 10:22:12,20,0,2011-01-01 10:13:12
Case4,Analyze Purchase Requisition,res_f5c64715-2154-458a-8581-bdf277fc207d,Role 3,2011-01-01 11:05:08,20,0,2011-01-01 10:55:55
Case10,Create Purchase Requisition,res_d8b79af1-bd07-46e9-9da4-51c767de3e23,Role 1,2011-01-01 11:26:29,21,0,2011-01-01 11:17:36
Case5,Analyze Purchase Requisition,res_55d89e72-96f9-4ffa-874b-64ecac5c3223,Role 3,2011-01-01 11:42:52,21,0,2011-01-01 11:33:47
Case11,Create Purchase Requisition,res_b2ed1e85-3a75-488d-b59a-ca664b3f3d43,Role 1,2011-01-01 13:03:39,22,0,2011-01-01 12:54:54
Case6,Analyze Purchase Requisition,res_55d89e72-96f9-4ffa-874b-64ecac5c3223,Role 3,2011-01-01 13:44:22,22,0,2011-01-01 13:35:27
Case7,Analyze Purchase Requisition,res_e87c5dfd-dc77-450b-8c9f-bbeff95740ec,Role 3,2011-01-01 14:03:11,22,0,2011-01-01 13:54:18
Case12,Create Purchase Requisition,res_b5d98185-d726-4acc-a9d9-b9cc0add4870,Role 1,2011-01-01 14:29:26,23,0,2011-01-01 14:20:49
Case4,Create Request for Quotation,res_e87c5dfd-dc77-450b-8c9f-bbeff95740ec,Role 3,2011-01-01 14:51:33,23,0,2011-01-01 14:41:57
Case5,Create Request for Quotation,res_55d89e72-96f9-4ffa-874b-64ecac5c3223,Role 3,2011-01-01 15:24:25,23,0,2011-01-01 15:14:52
Case8,Analyze Purchase Requisition,res_f5c64715-2154-458a-8581-bdf277fc207d,Role 3,2011-01-01 16:03:56,23,0,2011-01-01 15:55:12
Case9,Analyze Purchase Requisition,res_55d89e72-96f9-4ffa-874b-64ecac5c3223,Role 3,2011-01-01 16:27:06,23,0,2011-01-01 16:18:25
Case13,Create Purchase Requisition,res_4e813d80-de3b-4621-b884-8d43b418da5a,Role 1,2011-01-01 16:46:53,24,0,2011-01-01 16:38:25
Case1,Amend Purchase Requisition,res_4f4562b0-adf8-468b-bbaf-c32b774432c6,Role 1,2011-01-01 17:14:53,24,0,2011-01-01 17:05:01
Case1,Analyze Purchase Requisition,res_55d89e72-96f9-4ffa-874b-64ecac5c3223,Role 3,2011-01-01 17:23:48,24,0,2011-01-01 17:14:59
Case10,Analyze Purchase Requisition,res_e87c5dfd-dc77-450b-8c9f-bbeff95740ec,Role 3,2011-01-01 17:41:35,24,0,2011-01-01 17:33:01
Case14,Create Purchase Requisition,res_d8b79af1-bd07-46e9-9da4-51c767de3e23,Role 1,2011-01-01 18:00:12,25,0,2011-01-01 17:51:51
Case15,Create Purchase Requisition,res_0f9ce967-7c9c-4b6b-8fdd-f787ce3949b9,Role 1,2011-01-01 18:42:20,26,0,2011-01-01 18:34:04
