Unnamed: 0,caseid,act,index,last,next,if_para,start_timestamp,end_timestamp,resource,activity,res,wait,process
1,1,Start,1,None,2,0,,,Start,Start,Start,0,0
2,1,19,2,1,3,0,,,Turning,Turning,ID3846,20,1629
3,1,19,3,2,4,0,,,Turning,Turning,ID4799,980,14386
4,1,2,4,3,5,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4287,44057,3412
5,1,11,5,4,6,0,,,Packing,Packing,ID4820,70310,3760
6,1,2,6,5,7,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,18596,924
7,1,End,7,6,None,0,,,End,End,End,0,0
10,2,Start,10,None,"(11, 12)",0,,,Start,Start,Start,0,0
11,2,13,11,10,13,1,,,Round Grinding,Round Grinding,ID4355,5337,241
12,2,13,12,10,13,1,,,Round Grinding,Round Grinding,ID4445,27518,4044
13,2,2,13,"(11, 12)",14,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4618,27864,14894
14,2,2,14,13,15,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4493,3649,5652
15,2,11,15,14,16,0,,,Packing,Packing,ID4291,26783,2882
16,2,End,16,15,None,0,,,End,End,End,0,0
19,3,Start,19,None,20,0,,,Start,Start,Start,0,0
20,3,19,20,19,21,0,,,Turning,Turning,ID3846,26956,20274
21,3,19,21,20,22,0,,,Turning,Turning,ID4326,131,5434
22,3,20,22,21,"(23, 24)",0,,,Turning & Milling,Turning & Milling,ID4618,13113,5038
23,3,20,23,22,25,1,,,Turning & Milling,Turning & Milling,ID4932,53599,25806
24,3,20,24,22,25,1,,,Turning & Milling,Turning & Milling,ID4529,9138,13590
25,3,20,25,"(23, 24)",26,0,,,Turning & Milling,Turning & Milling,ID4132,19102,5812
26,3,7,26,25,27,0,,,Laser Marking,Laser Marking,ID0998,42342,2096
27,3,6,27,26,28,0,,,Lapping,Lapping,ID4882,1258,4400
28,3,13,28,27,29,0,,,Round Grinding,Round Grinding,ID4528,26,1727
29,3,13,29,28,30,0,,,Round Grinding,Round Grinding,ID0420,1724,12530
30,3,13,30,29,31,0,,,Round Grinding,Round Grinding,ID4385,10744,14926
31,3,6,31,30,"(32, 33, 35, 36)",0,,,Lapping,Lapping,ID0998,61224,16
32,3,2,32,31,37,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,55455,4689
33,3,2,33,31,34,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4493,267281,348
34,3,13,34,33,37,1,,,Round Grinding,Round Grinding,ID4445,23639,7542
35,3,13,35,31,37,1,,,Round Grinding,Round Grinding,ID4355,17996,5654
36,3,13,36,31,37,1,,,Round Grinding,Round Grinding,ID4872,33003,12951
