Unnamed: 0,caseid,act,index,last,next,if_para,start_timestamp,end_timestamp,resource,activity,res,wait,process
1,1,Start,1,None,2,0,,,Start,Start,Start,0,0
2,1,19,2,1,3,0,,,Turning,Turning,ID3846,46,13781
3,1,19,3,2,4,0,,,Turning,Turning,ID4219,40,2140
4,1,2,4,3,5,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,13893,5814
5,1,11,5,4,6,0,,,Packing,Packing,ID4820,17959,5531
6,1,2,6,5,7,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,1658,3353
7,1,End,7,6,None,0,,,End,End,End,0,0
10,2,Start,10,None,"(11, 12)",0,,,Start,Start,Start,0,0
11,2,13,11,10,13,1,,,Round Grinding,Round Grinding,ID4287,22501,15348
12,2,13,12,10,13,1,,,Round Grinding,Round Grinding,ID4355,68,4228
13,2,2,13,"(11, 12)",14,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,21520,8165
14,2,2,14,13,15,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,3607,4522
15,2,11,15,14,16,0,,,Packing,Packing,ID4820,88253,4494
16,2,End,16,15,None,0,,,End,End,End,0,0
19,3,Start,19,None,20,0,,,Start,Start,Start,0,0
20,3,19,20,19,21,0,,,Turning,Turning,ID4219,1262,14097
21,3,19,21,20,22,0,,,Turning,Turning,ID4799,5969,7975
22,3,20,22,21,"(23, 24)",0,,,Turning & Milling,Turning & Milling,ID0997,100496,25109
23,3,20,23,22,25,1,,,Turning & Milling,Turning & Milling,ID4932,66879,4558
24,3,20,24,22,25,1,,,Turning & Milling,Turning & Milling,ID4641,23385,38569
25,3,20,25,"(23, 24)",26,0,,,Turning & Milling,Turning & Milling,ID4429,1643,21271
26,3,7,26,25,27,0,,,Laser Marking,Laser Marking,ID0998,18,8473
27,3,6,27,26,28,0,,,Lapping,Lapping,ID0998,127791,10529
28,3,13,28,27,29,0,,,Round Grinding,Round Grinding,ID4355,22039,2137
29,3,13,29,28,30,0,,,Round Grinding,Round Grinding,ID4385,1076,16050
30,3,13,30,29,31,0,,,Round Grinding,Round Grinding,ID4872,16930,1220
31,3,6,31,30,"(32, 33, 35, 36)",0,,,Lapping,Lapping,ID4882,415,3996
32,3,2,32,31,37,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4493,306829,7545
33,3,2,33,31,34,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4618,1837,6216
34,3,13,34,33,37,1,,,Round Grinding,Round Grinding,ID4445,27881,6953
35,3,13,35,31,37,1,,,Round Grinding,Round Grinding,ID4528,64,4323
36,3,13,36,31,37,1,,,Round Grinding,Round Grinding,ID4445,8255,19428
37,3,2,37,"(32, 34, 35, 36)",38,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,768,14882
38,3,End,38,37,None,0,,,End,End,End,0,0
41,4,Start,41,None,42,0,,,Start,Start,Start,0,0
42,4,20,42,41,43,0,,,Turning & Milling,Turning & Milling,ID4429,1545,11614
43,4,20,43,42,44,0,,,Turning & Milling,Turning & Milling,ID0997,51553,86
44,4,20,44,43,45,0,,,Turning & Milling,Turning & Milling,ID4932,31380,22352
45,4,20,45,44,46,0,,,Turning & Milling,Turning & Milling,ID4794,337,51072
46,4,20,46,45,47,0,,,Turning & Milling,Turning & Milling,ID4794,22704,32686
47,4,20,47,46,48,0,,,Turning & Milling,Turning & Milling,ID4429,14466,423
48,4,20,48,47,49,0,,,Turning & Milling,Turning & Milling,ID4132,7444,10986
49,4,21,49,48,50,0,,,Turning & Milling Q.C.,Turning & Milling Q.C.,ID4287,11059,4685
50,4,21,50,49,"(51, 52)",0,,,Turning & Milling Q.C.,Turning & Milling Q.C.,ID4493,2840,7631
51,4,6,51,50,53,1,,,Lapping,Lapping,ID4882,29835,3807
52,4,7,52,50,53,1,,,Laser Marking,Laser Marking,ID0998,1312837,130
53,4,2,53,"(51, 52)","(54, 56)",0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4287,729,7655
54,4,2,54,53,55,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4955,308676,7787
55,4,2,55,54,57,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4493,12587,11079
56,4,2,56,53,57,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,140243,520
57,4,11,57,"(55, 56)",58,0,,,Packing,Packing,ID4820,143130,3934
58,4,End,58,57,None,0,,,End,End,End,0,0
61,5,Start,61,None,62,0,,,Start,Start,Start,0,0
62,5,19,62,61,"(63, 64)",0,,,Turning,Turning,ID3846,17252,34047
63,5,19,63,62,66,1,,,Turning,Turning,ID0997,515,1941
64,5,19,64,62,65,1,,,Turning,Turning,ID4326,29,4626
65,5,19,65,64,66,1,,,Turning,Turning,ID4641,1,24112
66,5,19,66,"(63, 65)",67,0,,,Turning,Turning,ID4442,10354,43417
67,5,19,67,66,68,0,,,Turning,Turning,ID4132,209,14447
68,5,19,68,67,69,0,,,Turning,Turning,ID4219,96,5485
69,5,19,69,68,70,0,,,Turning,Turning,ID0997,169,177
70,5,19,70,69,71,0,,,Turning,Turning,ID4219,29202,260
71,5,19,71,70,72,0,,,Turning,Turning,ID4219,3,9832
72,5,19,72,71,"(73, 75)",0,,,Turning,Turning,ID4219,99133,105
73,5,19,73,72,74,1,,,Turning,Turning,ID4219,20,13580
74,5,19,74,73,77,1,,,Turning,Turning,ID3846,1101,31178
75,5,19,75,72,76,1,,,Turning,Turning,ID3846,52,35340
76,5,19,76,75,77,1,,,Turning,Turning,ID4799,1526,6569
77,5,19,77,"(74, 76)",78,0,,,Turning,Turning,ID0997,11804,2190
78,5,22,78,77,"(79, 80)",0,,,Turning Q.C.,Turning Q.C.,ID4618,34135,5344
79,5,19,79,78,81,1,,,Turning,Turning,ID4442,617,19750
80,5,19,80,78,81,1,,,Turning,Turning,ID3846,167,12116
81,5,19,81,"(79, 80)",82,0,,,Turning,Turning,ID4641,8164,14040
82,5,22,82,81,83,0,,,Turning Q.C.,Turning Q.C.,ID4287,63927,3800
83,5,22,83,82,84,0,,,Turning Q.C.,Turning Q.C.,ID4287,270890,242
84,5,19,84,83,85,0,,,Turning,Turning,ID4132,9,18738
85,5,19,85,84,86,0,,,Turning,Turning,ID4219,27497,3546
86,5,11,86,85,87,0,,,Packing,Packing,ID4820,61797,4167
87,5,2,87,86,"(88, 89)",0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4493,121234,557
88,5,19,88,87,90,1,,,Turning,Turning,ID4932,9293,277
89,5,19,89,87,90,1,,,Turning,Turning,ID3846,104,734
90,5,19,90,"(88, 89)",91,0,,,Turning,Turning,ID3846,7199,18045
91,5,19,91,90,92,0,,,Turning,Turning,ID3718,1567,41606
92,5,19,92,91,93,0,,,Turning,Turning,ID3846,933,2321
93,5,19,93,92,94,0,,,Turning,Turning,ID4219,238,12544
94,5,19,94,93,95,0,,,Turning,Turning,ID4326,7724,45046
95,5,19,95,94,96,0,,,Turning,Turning,ID4219,4323,24455
96,5,19,96,95,97,0,,,Turning,Turning,ID0997,6140,3899
97,5,End,97,96,None,0,,,End,End,End,0,0
100,6,Start,100,None,101,0,,,Start,Start,Start,0,0
101,6,21,101,100,102,0,,,Turning & Milling Q.C.,Turning & Milling Q.C.,ID4618,51,867
102,6,7,102,101,103,0,,,Laser Marking,Laser Marking,ID0998,1908,4810
103,6,6,103,102,104,0,,,Lapping,Lapping,ID4882,134476,8499
104,6,4,104,103,105,0,,,Flat Grinding,Flat Grinding,ID0998,17529,27902
105,6,6,105,104,106,0,,,Lapping,Lapping,ID0998,220153,21945
106,6,11,106,105,107,0,,,Packing,Packing,ID4820,577310,4818
107,6,2,107,106,108,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,141557,589
108,6,End,108,107,None,0,,,End,End,End,0,0
111,7,Start,111,None,112,0,,,Start,Start,Start,0,0
112,7,21,112,111,113,0,,,Turning & Milling Q.C.,Turning & Milling Q.C.,ID4163,9453,5484
113,7,7,113,112,114,0,,,Laser Marking,Laser Marking,ID0998,821,7212
114,7,6,114,113,"(115, 117)",0,,,Lapping,Lapping,ID4882,268908,3823
115,7,6,115,114,116,1,,,Lapping,Lapping,ID4882,20858,3456
116,7,2,116,115,118,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4287,225707,12144
117,7,7,117,114,118,1,,,Laser Marking,Laser Marking,ID0998,2917,1946
118,7,2,118,"(116, 117)",119,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4618,590737,5445
119,7,2,119,118,120,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4287,22319,7811
120,7,11,120,119,"(121, 122)",0,,,Packing,Packing,ID4820,76770,3775
121,7,2,121,120,123,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4493,215832,28075
122,7,13,122,120,123,1,,,Round Grinding,Round Grinding,ID4385,13039,8354
123,7,13,123,"(121, 122)",124,0,,,Round Grinding,Round Grinding,ID4872,71,1698
124,7,2,124,123,125,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4493,3971,553
125,7,2,125,124,126,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4287,9681,4216
126,7,11,126,125,127,0,,,Packing,Packing,ID4820,24319,3191
127,7,End,127,126,None,0,,,End,End,End,0,0
130,8,Start,130,None,"(131, 132)",0,,,Start,Start,Start,0,0
131,8,20,131,130,133,1,,,Turning & Milling,Turning & Milling,ID4132,313,28324
132,8,22,132,130,133,1,,,Turning Q.C.,Turning Q.C.,ID4618,1109,111
133,8,20,133,"(131, 132)",134,0,,,Turning & Milling,Turning & Milling,ID4167,2049,16787
134,8,20,134,133,135,0,,,Turning & Milling,Turning & Milling,ID4794,11393,33170
135,8,21,135,134,136,0,,,Turning & Milling Q.C.,Turning & Milling Q.C.,ID4287,31687,5775
136,8,20,136,135,"(137, 139)",0,,,Turning & Milling,Turning & Milling,ID4167,13858,12553
137,8,20,137,136,138,1,,,Turning & Milling,Turning & Milling,ID4529,0,17474
138,8,6,138,137,140,1,,,Lapping,Lapping,ID0998,130033,3412
139,8,20,139,136,140,1,,,Turning & Milling,Turning & Milling,ID4163,136,14752
140,8,6,140,"(138, 139)",141,0,,,Lapping,Lapping,ID4882,37657,13579
141,8,7,141,140,142,0,,,Laser Marking,Laser Marking,ID0998,221930,57
142,8,21,142,141,143,0,,,Turning & Milling Q.C.,Turning & Milling Q.C.,ID4163,8526,11726
143,8,21,143,142,144,0,,,Turning & Milling Q.C.,Turning & Milling Q.C.,ID4287,20994,3130
144,8,2,144,143,"(145, 146)",0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,16321,372
145,8,2,145,144,147,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4493,75469,10012
146,8,13,146,144,147,1,,,Round Grinding,Round Grinding,ID4385,25229,15722
147,8,11,147,"(145, 146)",148,0,,,Packing,Packing,ID4491,52074,3728
148,8,7,148,147,149,0,,,Laser Marking,Laser Marking,ID4882,4563,2984
149,8,6,149,148,150,0,,,Lapping,Lapping,ID4882,86800,8060
150,8,6,150,149,151,0,,,Lapping,Lapping,ID4355,387,6580
151,8,2,151,150,152,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4618,23501,3361
152,8,2,152,151,153,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4493,243218,817
153,8,11,153,152,154,0,,,Packing,Packing,ID4820,48298,3355
154,8,2,154,153,155,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,8009,5795
155,8,End,155,154,None,0,,,End,End,End,0,0
158,9,Start,158,None,159,0,,,Start,Start,Start,0,0
159,9,20,159,158,160,0,,,Turning & Milling,Turning & Milling,ID4167,23,3663
160,9,20,160,159,161,0,,,Turning & Milling,Turning & Milling,ID4163,27710,2528
161,9,20,161,160,162,0,,,Turning & Milling,Turning & Milling,ID0997,0,14571
162,9,20,162,161,163,0,,,Turning & Milling,Turning & Milling,ID4429,213,4798
163,9,21,163,162,164,0,,,Turning & Milling Q.C.,Turning & Milling Q.C.,ID4618,33383,18471
164,9,7,164,163,165,0,,,Laser Marking,Laser Marking,ID4445,29401,1100
165,9,4,165,164,166,0,,,Flat Grinding,Flat Grinding,ID4618,13033,6344
166,9,6,166,165,"(167, 168)",0,,,Lapping,Lapping,ID0420,97532,3510
167,9,13,167,166,169,1,,,Round Grinding,Round Grinding,ID4445,54013,104
168,9,13,168,166,169,1,,,Round Grinding,Round Grinding,ID4163,270,17183
169,9,5,169,"(167, 168)",170,0,,,Grinding Rework,Grinding Rework,ID4528,1109,11379
170,9,2,170,169,171,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4493,213293,861
171,9,11,171,170,172,0,,,Packing,Packing,ID4820,80182,4010
172,9,2,172,171,173,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4287,68058,12643
173,9,End,173,172,None,0,,,End,End,End,0,0
176,10,Start,176,None,177,0,,,Start,Start,Start,0,0
177,10,8,177,176,178,0,,,Milling,Milling,ID4326,18833,7897
178,10,21,178,177,179,0,,,Turning & Milling Q.C.,Turning & Milling Q.C.,ID4618,14488,1112
179,10,6,179,178,"(180, 182)",0,,,Lapping,Lapping,ID0998,12487,15360
180,10,13,180,179,181,1,,,Round Grinding,Round Grinding,ID4445,10452,11718
181,10,6,181,180,184,1,,,Lapping,Lapping,ID4718,21188,356
182,10,13,182,179,183,1,,,Round Grinding,Round Grinding,ID4528,2548,8752
183,10,6,183,182,184,1,,,Lapping,Lapping,ID0998,748,10307
184,10,11,184,"(181, 183)","(185, 186)",0,,,Packing,Packing,ID4820,17628,3328
185,10,2,185,184,187,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4618,2079,147
186,10,7,186,184,187,1,,,Laser Marking,Laser Marking,ID4528,13797,2347
187,10,End,187,"(185, 186)",None,0,,,End,End,End,0,0
190,11,Start,190,None,191,0,,,Start,Start,Start,0,0
191,11,21,191,190,"(192, 193)",0,,,Turning & Milling Q.C.,Turning & Milling Q.C.,ID4618,20839,32
192,11,6,192,191,194,1,,,Lapping,Lapping,ID4882,231398,5302
193,11,7,193,191,194,1,,,Laser Marking,Laser Marking,ID0998,469,621
194,11,2,194,"(192, 193)",195,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,18291,10016
195,11,2,195,194,196,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4618,21360,64
196,11,11,196,195,197,0,,,Packing,Packing,ID4820,26986,3638
197,11,End,197,196,None,0,,,End,End,End,0,0
200,12,Start,200,None,201,0,,,Start,Start,Start,0,0
201,12,20,201,200,202,0,,,Turning & Milling,Turning & Milling,ID4429,29,5358
202,12,20,202,201,"(203, 204)",0,,,Turning & Milling,Turning & Milling,ID3846,751,5523
203,12,20,203,202,205,1,,,Turning & Milling,Turning & Milling,ID4529,5604,16520
204,12,20,204,202,205,1,,,Turning & Milling,Turning & Milling,ID4219,390,17280
205,12,20,205,"(203, 204)",206,0,,,Turning & Milling,Turning & Milling,ID4132,53833,90
206,12,20,206,205,207,0,,,Turning & Milling,Turning & Milling,ID4167,336,6882
207,12,21,207,206,208,0,,,Turning & Milling Q.C.,Turning & Milling Q.C.,ID4493,820264,5193
208,12,21,208,207,209,0,,,Turning & Milling Q.C.,Turning & Milling Q.C.,ID4618,15130,691
209,12,7,209,208,210,0,,,Laser Marking,Laser Marking,ID0998,49762,1183
210,12,6,210,209,211,0,,,Lapping,Lapping,ID0998,140579,8989
211,12,6,211,210,212,0,,,Lapping,Lapping,ID0998,358609,14
212,12,2,212,211,213,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4618,2590,17530
213,12,11,213,212,214,0,,,Packing,Packing,ID4820,19463,5120
214,12,2,214,213,215,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,1311,12587
215,12,End,215,214,None,0,,,End,End,End,0,0
218,13,Start,218,None,219,0,,,Start,Start,Start,0,0
219,13,6,219,218,220,0,,,Lapping,Lapping,ID4882,1793,80
220,13,13,220,219,221,0,,,Round Grinding,Round Grinding,ID4385,20888,13179
221,13,13,221,220,"(222, 223)",0,,,Round Grinding,Round Grinding,ID4618,1547,152
222,13,13,222,221,224,1,,,Round Grinding,Round Grinding,ID4355,112,24350
223,13,13,223,221,224,1,,,Round Grinding,Round Grinding,ID4872,42,8259
224,13,13,224,"(222, 223)",225,0,,,Round Grinding,Round Grinding,ID4528,8780,17416
225,13,13,225,224,"(226, 227, 229)",0,,,Round Grinding,Round Grinding,ID4355,19064,2920
226,13,6,226,225,230,1,,,Lapping,Lapping,ID0998,25366,9084
227,13,6,227,225,228,1,,,Lapping,Lapping,ID4882,35094,12836
228,13,2,228,227,230,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4287,275,8360
229,13,13,229,225,230,1,,,Round Grinding,Round Grinding,ID4287,1649,886
230,13,13,230,"(226, 228, 229)","(231, 232)",0,,,Round Grinding,Round Grinding,ID4355,13690,12835
231,13,2,231,230,233,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,26877,5356
232,13,7,232,230,233,1,,,Laser Marking,Laser Marking,ID0998,617,8093
233,13,11,233,"(231, 232)","(234, 235)",0,,,Packing,Packing,ID4820,36759,3375
234,13,6,234,233,237,1,,,Lapping,Lapping,ID0998,68348,16040
235,13,13,235,233,236,1,,,Round Grinding,Round Grinding,ID4528,52,21623
236,13,13,236,235,237,1,,,Round Grinding,Round Grinding,ID4528,9174,35902
237,13,End,237,"(234, 236)",None,0,,,End,End,End,0,0
240,14,Start,240,None,"(241, 242)",0,,,Start,Start,Start,0,0
241,14,20,241,240,244,1,,,Turning & Milling,Turning & Milling,ID4794,59660,28882
242,14,20,242,240,243,1,,,Turning & Milling,Turning & Milling,ID4132,72,15640
243,14,20,243,242,244,1,,,Turning & Milling,Turning & Milling,ID4529,265,32353
244,14,20,244,"(241, 243)",245,0,,,Turning & Milling,Turning & Milling,ID4641,11801,48603
245,14,20,245,244,"(246, 248)",0,,,Turning & Milling,Turning & Milling,ID0997,74979,1317
246,14,20,246,245,247,1,,,Turning & Milling,Turning & Milling,ID4219,79,11680
247,14,20,247,246,249,1,,,Turning & Milling,Turning & Milling,ID4794,4313,28702
248,14,21,248,245,249,1,,,Turning & Milling Q.C.,Turning & Milling Q.C.,ID4618,19325,1465
249,14,20,249,"(247, 248)",250,0,,,Turning & Milling,Turning & Milling,ID4429,465,4173
250,14,20,250,249,251,0,,,Turning & Milling,Turning & Milling,ID4794,402,2828
251,14,20,251,250,252,0,,,Turning & Milling,Turning & Milling,ID4219,25462,27317
252,14,21,252,251,253,0,,,Turning & Milling Q.C.,Turning & Milling Q.C.,ID4493,863,11622
253,14,7,253,252,254,0,,,Laser Marking,Laser Marking,ID4882,1834896,2201
254,14,6,254,253,"(255, 256)",0,,,Lapping,Lapping,ID4882,225793,1105
255,14,2,255,254,257,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,1015,796
256,14,11,256,254,257,1,,,Packing,Packing,ID4820,19872,3703
257,14,2,257,"(255, 256)",258,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4618,9060,3918
