Unnamed: 0,caseid,act,index,last,next,if_para,start_timestamp,end_timestamp,resource,activity,res,wait,process
1,1,Start,1,None,2,0,,,Start,Start,Start,0,0
2,1,19,2,1,3,0,,,Turning,Turning,ID3846,41,4261
3,1,19,3,2,4,0,,,Turning,Turning,ID4219,10952,3817
4,1,2,4,3,5,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4287,808,1818
5,1,11,5,4,6,0,,,Packing,Packing,ID4820,6352,5107
6,1,2,6,5,7,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4493,56750,13637
7,1,End,7,6,None,0,,,End,End,End,0,0
10,2,Start,10,None,"(11, 12)",0,,,Start,Start,Start,0,0
11,2,13,11,10,13,1,,,Round Grinding,Round Grinding,ID4355,85763,9442
12,2,13,12,10,13,1,,,Round Grinding,Round Grinding,ID4528,14125,32719
13,2,2,13,"(11, 12)",14,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4287,477695,5189
14,2,2,14,13,15,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4287,7809,4799
15,2,11,15,14,16,0,,,Packing,Packing,ID4820,17484,3675
16,2,End,16,15,None,0,,,End,End,End,0,0
19,3,Start,19,None,20,0,,,Start,Start,Start,0,0
20,3,19,20,19,21,0,,,Turning,Turning,ID3846,66,10256
21,3,19,21,20,22,0,,,Turning,Turning,ID0997,5272,1551
22,3,20,22,21,"(23, 24)",0,,,Turning & Milling,Turning & Milling,ID4219,2637,3708
23,3,20,23,22,25,1,,,Turning & Milling,Turning & Milling,ID4718,127,43572
24,3,20,24,22,25,1,,,Turning & Milling,Turning & Milling,ID3846,1445,9084
25,3,20,25,"(23, 24)",26,0,,,Turning & Milling,Turning & Milling,ID4132,10111,15383
26,3,7,26,25,27,0,,,Laser Marking,Laser Marking,ID4882,32039,52
27,3,6,27,26,28,0,,,Lapping,Lapping,ID0998,468185,28767
28,3,13,28,27,29,0,,,Round Grinding,Round Grinding,ID4528,7654,49
29,3,13,29,28,30,0,,,Round Grinding,Round Grinding,ID0420,3811,20581
30,3,13,30,29,31,0,,,Round Grinding,Round Grinding,ID4872,535,4899
31,3,6,31,30,"(32, 33, 35, 36)",0,,,Lapping,Lapping,ID4882,685090,6992
32,3,2,32,31,37,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4618,397180,16166
33,3,2,33,31,34,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,108564,29931
34,3,13,34,33,37,1,,,Round Grinding,Round Grinding,ID4355,2626,21123
35,3,13,35,31,37,1,,,Round Grinding,Round Grinding,ID4287,122,1808
36,3,13,36,31,37,1,,,Round Grinding,Round Grinding,ID4528,10363,1898
37,3,2,37,"(32, 34, 35, 36)",38,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4287,38696,28620
38,3,End,38,37,None,0,,,End,End,End,0,0
41,4,Start,41,None,42,0,,,Start,Start,Start,0,0
42,4,20,42,41,43,0,,,Turning & Milling,Turning & Milling,ID4429,118,32700
43,4,20,43,42,44,0,,,Turning & Milling,Turning & Milling,ID4219,150,14572
44,4,20,44,43,45,0,,,Turning & Milling,Turning & Milling,ID4529,71,30878
45,4,20,45,44,46,0,,,Turning & Milling,Turning & Milling,ID4529,202,18545
46,4,20,46,45,47,0,,,Turning & Milling,Turning & Milling,ID4794,11910,3334
47,4,20,47,46,48,0,,,Turning & Milling,Turning & Milling,ID4445,10437,35680
48,4,20,48,47,49,0,,,Turning & Milling,Turning & Milling,ID4932,1948,3615
49,4,21,49,48,50,0,,,Turning & Milling Q.C.,Turning & Milling Q.C.,ID4493,15657,771
50,4,21,50,49,"(51, 52)",0,,,Turning & Milling Q.C.,Turning & Milling Q.C.,ID4163,15992,4996
51,4,6,51,50,53,1,,,Lapping,Lapping,ID0998,362769,138
52,4,7,52,50,53,1,,,Laser Marking,Laser Marking,ID0998,1782,5008
53,4,2,53,"(51, 52)","(54, 56)",0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,879,2154
54,4,2,54,53,55,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4618,1546,4000
55,4,2,55,54,57,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4493,12790,5286
56,4,2,56,53,57,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,140385,114
57,4,11,57,"(55, 56)",58,0,,,Packing,Packing,ID4820,36247,3624
58,4,End,58,57,None,0,,,End,End,End,0,0
61,5,Start,61,None,62,0,,,Start,Start,Start,0,0
62,5,19,62,61,"(63, 64)",0,,,Turning,Turning,ID4219,1847,7483
63,5,19,63,62,66,1,,,Turning,Turning,ID4799,835,136
64,5,19,64,62,65,1,,,Turning,Turning,ID3846,55,5553
65,5,19,65,64,66,1,,,Turning,Turning,ID4287,8338,10222
66,5,19,66,"(63, 65)",67,0,,,Turning,Turning,ID0997,103964,1147
67,5,19,67,66,68,0,,,Turning,Turning,ID3846,1745,29864
68,5,19,68,67,69,0,,,Turning,Turning,ID4641,250169,7397
69,5,19,69,68,70,0,,,Turning,Turning,ID4219,0,2272
70,5,19,70,69,71,0,,,Turning,Turning,ID3846,39,11791
71,5,19,71,70,72,0,,,Turning,Turning,ID3718,1225,4341
72,5,19,72,71,"(73, 75)",0,,,Turning,Turning,ID4132,3735,3627
73,5,19,73,72,74,1,,,Turning,Turning,ID3846,4204,2273
74,5,19,74,73,77,1,,,Turning,Turning,ID4799,2801,7459
75,5,19,75,72,76,1,,,Turning,Turning,ID4641,11517,5155
76,5,19,76,75,77,1,,,Turning,Turning,ID4219,278,33151
77,5,19,77,"(74, 76)",78,0,,,Turning,Turning,ID3846,341,18641
78,5,22,78,77,"(79, 80)",0,,,Turning Q.C.,Turning Q.C.,ID4618,115843,8129
79,5,19,79,78,81,1,,,Turning,Turning,ID3846,131,24519
80,5,19,80,78,81,1,,,Turning,Turning,ID4219,13,1465
81,5,19,81,"(79, 80)",82,0,,,Turning,Turning,ID3846,27,696
82,5,22,82,81,83,0,,,Turning Q.C.,Turning Q.C.,ID4287,21,6143
83,5,22,83,82,84,0,,,Turning Q.C.,Turning Q.C.,ID4618,1736,835
84,5,19,84,83,85,0,,,Turning,Turning,ID3846,367,29425
85,5,19,85,84,86,0,,,Turning,Turning,ID0997,2835,8645
86,5,11,86,85,87,0,,,Packing,Packing,ID4820,15832,2842
87,5,2,87,86,"(88, 89)",0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,19199,2576
88,5,19,88,87,90,1,,,Turning,Turning,ID4932,859,28909
89,5,19,89,87,90,1,,,Turning,Turning,ID4219,90,34085
90,5,19,90,"(88, 89)",91,0,,,Turning,Turning,ID4641,14076,40000
91,5,19,91,90,92,0,,,Turning,Turning,ID4219,200,13890
92,5,19,92,91,93,0,,,Turning,Turning,ID4641,9674,32741
93,5,19,93,92,94,0,,,Turning,Turning,ID4219,36,17945
94,5,19,94,93,95,0,,,Turning,Turning,ID3846,64,21660
95,5,19,95,94,96,0,,,Turning,Turning,ID0997,2784,1182
96,5,19,96,95,97,0,,,Turning,Turning,ID0997,76,25582
97,5,End,97,96,None,0,,,End,End,End,0,0
100,6,Start,100,None,101,0,,,Start,Start,Start,0,0
101,6,21,101,100,102,0,,,Turning & Milling Q.C.,Turning & Milling Q.C.,ID4287,9375,6067
102,6,7,102,101,103,0,,,Laser Marking,Laser Marking,ID0998,29632,1970
103,6,6,103,102,104,0,,,Lapping,Lapping,ID4163,299550,4466
104,6,4,104,103,105,0,,,Flat Grinding,Flat Grinding,ID4882,34200,6453
105,6,6,105,104,106,0,,,Lapping,Lapping,ID0420,1859,4250
106,6,11,106,105,107,0,,,Packing,Packing,ID4491,44094,4261
107,6,2,107,106,108,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4287,361,6916
108,6,End,108,107,None,0,,,End,End,End,0,0
111,7,Start,111,None,112,0,,,Start,Start,Start,0,0
112,7,21,112,111,113,0,,,Turning & Milling Q.C.,Turning & Milling Q.C.,ID4618,11084,2617
113,7,7,113,112,114,0,,,Laser Marking,Laser Marking,ID4872,28119,1836
114,7,6,114,113,"(115, 117)",0,,,Lapping,Lapping,ID0998,42251,2092
115,7,6,115,114,116,1,,,Lapping,Lapping,ID0998,4942,21968
116,7,2,116,115,118,1,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4163,21091,140
