Unnamed: 0,caseid,act,index,last,next,if_para,start_timestamp,end_timestamp,resource,activity,res,wait,process
1,1,Start,1,None,2,0,,,Start,Start,Start,0,0
2,1,19,2,1,3,0,,,Turning,Turning,ID4219,4851,7361
3,1,19,3,2,4,0,,,Turning,Turning,ID3846,488,26756
4,1,2,4,3,5,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4618,118537,144
5,1,11,5,4,6,0,,,Packing,Packing,ID4820,459550,4262
6,1,2,6,5,7,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4287,63643,5731
7,1,End,7,6,None,0,,,End,End,End,0,0
10,2,Start,10,None,"(11, 12)",0,,,Start,Start,Start,0,0
11,2,13,11,10,13,1,,,Round Grinding,Round Grinding,ID4872,949,5502
12,2,13,12,10,13,1,,,Round Grinding,Round Grinding,ID4445,17830,23585
13,2,2,13,"(11, 12)",14,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4618,58995,22938
14,2,2,14,13,15,0,,,Final Inspection Q.C.,Final Inspection Q.C.,ID4493,289906,16674
15,2,11,15,14,16,0,,,Packing,Packing,ID4820,72937,3476
16,2,End,16,15,None,0,,,End,End,End,0,0
19,3,Start,19,None,20,0,,,Start,Start,Start,0,0
20,3,19,20,19,21,0,,,Turning,Turning,ID0997,7885,33447
21,3,19,21,20,22,0,,,Turning,Turning,ID4442,119787,101
22,3,20,22,21,"(23, 24)",0,,,Turning & Milling,Turning & Milling,ID3846,2775,3560
23,3,20,23,22,25,1,,,Turning & Milling,Turning & Milling,ID4167,11568,50021
24,3,20,24,22,25,1,,,Turning & Milling,Turning & Milling,ID4932,8075,2903
25,3,20,25,"(23, 24)",26,0,,,Turning & Milling,Turning & Milling,ID0997,16822,391
26,3,7,26,25,27,0,,,Laser Marking,Laser Marking,ID0998,87,7044
27,3,6,27,26,28,0,,,Lapping,Lapping,ID4882,253799,115
28,3,13,28,27,29,0,,,Round Grinding,Round Grinding,ID4445,27771,15904
29,3,13,29,28,30,0,,,Round Grinding,Round Grinding,ID4385,9132,3127
